Ore Name,ItemStack,Item ID,Display Name,Wildcard
Ac227,1xitem.ingot_actinium@0,hbm:item.ingot_actinium,半稳定锕锭,false
Actinium227,1xitem.ingot_actinium@0,hbm:item.ingot_actinium,半稳定锕锭,false
AdvancedAlloy,1xitem.ingot_advanced_alloy@0,hbm:item.ingot_advanced_alloy,高级合金锭,false
Aluminum,1xitem.ingot_aluminium@0,hbm:item.ingot_aluminium,铝锭,false
Am241,1xitem.ingot_am241@0,hbm:item.ingot_am241,镅-241锭,false
Am242,1xitem.ingot_am242@0,hbm:item.ingot_am242,镅-242锭,false
Americium241,1xitem.ingot_am241@0,hbm:item.ingot_am241,镅-241锭,false
Americium242,1xitem.ingot_am242@0,hbm:item.ingot_am242,镅-242锭,false
AmericiumRG,1xitem.ingot_am_mix@0,hbm:item.ingot_am_mix,反应堆级镅锭,false
AnyBismoid,1xitem.ingot_bismuth@0,hbm:item.ingot_bismuth,铋锭,false
AnyBismoid,1xitem.ingot_arsenic@0,hbm:item.ingot_arsenic,砷锭,false
AnyHighexplosive,1xitem.ball_tnt@0,hbm:item.ball_tnt,TNT炸药,false
AnyHighexplosive,1xitem.ball_tatb@0,hbm:item.ball_tatb,TATB,false
AnyPlasticexplosive,1xitem.ingot_semtex@0,hbm:item.ingot_semtex,塞姆汀塑胶炸药块,false
AnyPlasticexplosive,1xitem.ingot_c4@0,hbm:item.ingot_c4,一块C-4,false
Arsenic,1xitem.ingot_arsenic@0,hbm:item.ingot_arsenic,砷锭,false
Artefact-advblackpowder,1xitem.yellowDust@32767,minecraft:glowstone_dust,(wildcard),true
Artefact-advblackpowder,1xitem.redstone@32767,minecraft:redstone,(wildcard),true
Artefact-advcrucible,1xitem.null@6,minefantasy2:artefact_any,高级锻造炉图纸,false
Artefact-advforge,1xitem.null@6,minefantasy2:artefact_any,高级锻造炉图纸,false
Artefact-ammo_box,1xtile.chest@32767,minecraft:chest,(wildcard),true
Artefact-applepie,1xitem.apple@32767,minecraft:apple,(wildcard),true
Artefact-applepie,1xitem.pastry@32767,minefantasy2:MF_UFoodpastry,(wildcard),true
Artefact-arrowsBodkin,1xitem.feather@32767,minecraft:feather,(wildcard),true
Artefact-arrowsBroad,1xitem.feather@32767,minecraft:feather,(wildcard),true
Artefact-arrowsBroad,1xitem.flint@32767,minecraft:flint,(wildcard),true
Artefact-bandageadv,1xtile.cloth@32767,minecraft:wool,(wildcard),true
Artefact-bandageadv,1xitem.leather@32767,minecraft:leather,(wildcard),true
Artefact-bed_roll,1xitem.bed@32767,minecraft:bed,(wildcard),true
Artefact-berrypie,1xitem.berries@32767,minefantasy2:MF2_food_berries,(wildcard),true
Artefact-berrypie,1xitem.pastry@32767,minefantasy2:MF_UFoodpastry,(wildcard),true
Artefact-bfcake,1xitem.flour@32767,minefantasy2:MF_Com_flour,(wildcard),true
Artefact-bfcake,1xitem.egg@32767,minecraft:egg,(wildcard),true
Artefact-bfcake,1xitem.dyePowder@3,minecraft:dye,可可豆,false
Artefact-bfcake,1xitem.berriesJuicy@32767,minefantasy2:MF2_food_berriesJuicy,(wildcard),true
Artefact-big_box,1xtile.chest@32767,minecraft:chest,(wildcard),true
Artefact-bigfurn,1xitem.ingotIron@32767,minecraft:iron_ingot,(wildcard),true
Artefact-bigfurn,1xtile.furnace@32767,minecraft:furnace,(wildcard),true
Artefact-bigfurn,1xtile.bloomery@32767,minefantasy2:MF_Bloomery,(wildcard),true
Artefact-bigfurn,1xitem.kaolinite@32767,minefantasy2:MF_Com_kaolinite,(wildcard),true
Artefact-bigfurn,1xitem.coal@32767,minecraft:coal,(wildcard),true
Artefact-blackpowder,1xitem.nitre@32767,minefantasy2:MF_Com_nitre,(wildcard),true
Artefact-blackpowder,1xitem.sulfur@32767,minefantasy2:MF_Com_sulfur,(wildcard),true
Artefact-blackpowder,1xitem.coal@32767,minecraft:coal,(wildcard),true
Artefact-blackpowder,1xitem.sulphur@32767,minecraft:gunpowder,(wildcard),true
Artefact-blastfurn,1xitem.ingotIron@32767,minecraft:iron_ingot,(wildcard),true
Artefact-blastfurn,1xtile.oreIron@32767,minecraft:iron_ore,(wildcard),true
Artefact-blastfurn,1xtile.furnace@32767,minecraft:furnace,(wildcard),true
Artefact-blastfurn,1xtile.bloomery@32767,minefantasy2:MF_Bloomery,(wildcard),true
Artefact-blastfurn,1xtile.limestone@32767,minefantasy2:limestone,(wildcard),true
Artefact-blastfurn,1xitem.kaolinite@32767,minefantasy2:MF_Com_kaolinite,(wildcard),true
Artefact-bombCrystal,1xitem.diamond@32767,minecraft:diamond,(wildcard),true
Artefact-bombIron,1xitem.ingotIron@32767,minecraft:iron_ingot,(wildcard),true
Artefact-bombObsidian,1xtile.obsidian@32767,minecraft:obsidian,(wildcard),true
Artefact-bombarrow,1xitem.feather@32767,minecraft:feather,(wildcard),true
Artefact-bombarrow,1xitem.blackpowder@32767,minefantasy2:MF_Com_blackpowder,(wildcard),true
Artefact-bombobsidian,1xitem.null@4,minefantasy2:artefact_any,矮人炸弹图纸,false
Artefact-bombs,1xitem.blackpowder@32767,minefantasy2:MF_Com_blackpowder,(wildcard),true
Artefact-bombs,1xitem.redstone@32767,minecraft:redstone,(wildcard),true
Artefact-bombs,1xitem.string@32767,minecraft:string,(wildcard),true
Artefact-bpress,1xitem.bronze_gears@32767,minefantasy2:MF_Com_bronze_gears,(wildcard),true
Artefact-bpress,1xtile.lever@32767,minecraft:lever,(wildcard),true
Artefact-cake,1xitem.flour@32767,minefantasy2:MF_Com_flour,(wildcard),true
Artefact-cake,1xitem.egg@32767,minecraft:egg,(wildcard),true
Artefact-carrotcake,1xitem.flour@32767,minefantasy2:MF_Com_flour,(wildcard),true
Artefact-carrotcake,1xitem.egg@32767,minecraft:egg,(wildcard),true
Artefact-carrotcake,1xitem.carrots@32767,minecraft:carrot,(wildcard),true
Artefact-cheeseroll,1xitem.bread@32767,minecraft:bread,(wildcard),true
Artefact-cheeseroll,1xitem.cheese_slice@32767,minefantasy2:MF2_food_cheese_slice,(wildcard),true
